semana,ira_tot,ira_hosp,ira_uci,ira_ext
1,1667,66,14,1587
2,2091,117,9,1965
3,2027,85,6,1936
4,1630,70,6,1554
5,1013,70,10,933
6,1254,48,12,1194
7,1211,64,10,1137
8,1147,45,4,1098
9,986,45,10,931
10,1491,68,5,1418
11,1345,61,11,1273
12,1261,47,9,1205
13,908,103,13,792
14,1323,79,15,1229
15,1249,59,12,1178
16,1592,95,11,1486
17,1379,98,15,1266
18,1376,66,3,1307
19,1437,66,6,1365
20,1613,80,8,1525
21,1728,100,10,1618
22,1652,87,9,1556
23,1601,86,17,1498
24,1784,126,12,1646
25,2164,169,16,1979
26,1446,61,9,1376
27,1625,120,9,1496
28,1832,108,10,1714
29,2101,114,10,1977
30,1979,137,15,1827
31,1871,111,7,1753
32,1679,89,13,1577
33,1380,75,5,1300
34,1593,80,10,1503
35,1857,96,7,1754
36,1516,71,5,1440
37,1677,86,6,1585
38,1622,81,3,1538
39,1468,62,7,1399
40,1536,42,11,1483
41,1181,42,2,1137
42,1397,83,3,1311
43,1634,51,2,1581
44,1334,60,7,1267
45,1351,61,5,1285
46,1621,67,8,1546
47,2098,86,8,2004
48,1579,73,7,1499
49,1902,94,4,1804
50,2586,86,10,2490
51,1749,91,9,1649
52,1882,110,11,1761
