"semana","icinfhosp","icsuphosp","icinfuci","icsupuci","icinfext","icsupext","icinftotal","icsuptotal"
1,28,51,0,7,1333,2184,1368,2234
2,8,120,2,7,1089,2906,1115,3017
3,38,63,0,8,1117,2616,1170,2672
4,24,78,0,5,1155,2731,1198,2795
5,29,46,1,4,1055,2123,1093,2166
6,26,52,1,5,712,2300,742,2352
7,29,55,1,4,983,2006,1017,2061
8,32,52,2,5,1168,2652,1210,2701
9,40,66,1,7,1142,1957,1197,2016
10,41,70,1,8,1023,2895,1084,2955
11,32,53,1,4,993,1953,1034,2002
12,36,61,1,5,969,1973,1016,2030
13,31,61,1,5,910,2077,950,2136
14,37,60,1,5,1216,2051,1261,2111
15,18,60,1,4,982,1659,1022,1702
16,27,69,1,6,1021,1812,1056,1880
17,30,62,2,6,894,1687,938,1743
18,37,68,1,8,871,2111,920,2177
19,26,69,2,6,1061,2428,1100,2491
20,33,76,2,5,1285,2423,1330,2496
21,34,81,1,6,1503,2261,1549,2337
22,19,154,-2,15,1623,2269,1644,2433
23,45,71,1,6,1533,1902,1583,1976
24,42,91,2,5,1528,2074,1582,2159
25,37,88,1,6,1431,1949,1477,2035
26,39,77,2,7,1162,1926,1222,1992
27,30,79,2,11,1241,1784,1290,1858
28,28,54,1,7,1239,2066,1280,2114
29,31,65,0,7,1232,1874,1292,1915
30,41,64,1,7,1378,2000,1434,2056
31,35,60,2,6,1219,1979,1271,2030
32,23,67,2,8,1271,1939,1326,1984
33,23,60,2,7,1253,1759,1305,1798
34,24,54,1,9,1367,1806,1418,1842
35,32,50,1,6,1265,2051,1314,2090
36,27,51,2,4,1594,2245,1643,2280
37,24,49,0,5,1491,2163,1537,2194
38,28,52,1,5,1499,2201,1541,2245
39,34,59,2,6,1519,2312,1572,2360
40,14,80,0,6,1297,2360,1335,2422
41,27,46,0,5,1200,1942,1235,1985
42,20,138,0,9,1252,2002,1343,2078
43,32,78,1,7,1180,2019,1251,2067
44,25,53,0,5,1156,1880,1198,1921
45,32,48,1,8,1116,2024,1158,2071
46,29,68,1,6,1369,2189,1429,2234
47,27,67,1,8,1380,2139,1423,2198
48,28,59,0,4,1299,1916,1341,1966
49,32,60,-1,13,1308,1997,1359,2050
50,26,62,0,12,1238,2100,1279,2158
51,31,51,2,8,1266,1977,1307,2027
52,27,57,2,5,1032,1943,1079,1987
